                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.76015,                0.99076,                 1.2213,                0.87276,                0.41667,                0.61882,                0.36595,                 1.8646,                 1.9443,                 1.5594,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                0.53883,                0.58595,                 1.0131,                0.87415,                0.41667,                0.58429,                0.36265,                 1.8469,                 1.9765,                 1.5641,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                0.88113,                 0.8077,                 1.2124,                0.87415,                0.41667,                0.58429,                0.36265,                 1.8469,                 1.9765,                 1.5641,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                0.78721,                 0.9206,                 1.1966,                0.87415,                0.41667,                0.58429,                0.36265,                 1.8469,                 1.9765,                 1.5641,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                0.76439,                 0.8168,                 1.1412,                0.87581,                0.41598,                0.58917,                0.36358,                  1.849,                 1.9731,                 1.5604,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                0.70351,                0.84896,                 1.2034,                0.87581,                0.41598,                0.58917,                0.36358,                  1.849,                 1.9731,                 1.5604,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                0.76744,                 1.1823,                 1.1462,                0.87581,                0.41598,                0.58917,                0.36358,                  1.849,                 1.9731,                 1.5604,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                0.77339,                0.87497,                  1.093,                0.87581,                0.41598,                0.58917,                0.36358,                  1.849,                 1.9731,                 1.5604,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                0.83846,                 1.1549,                 1.4097,                0.87555,                0.41363,                0.55788,                0.34601,                 1.8437,                 1.9642,                  1.552,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                 1.1038,                 1.2323,                 1.5146,                0.87555,                0.41363,                0.55788,                0.34601,                 1.8437,                 1.9642,                  1.552,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                0.74745,                0.86441,                 1.0745,                0.87555,                0.41363,                0.55788,                0.34601,                 1.8437,                 1.9642,                  1.552,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                0.55849,                0.77207,                  1.009,                0.87555,                0.41363,                0.55788,                0.34601,                 1.8437,                 1.9642,                  1.552,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                0.78221,                0.87148,                0.99146,                 0.9667,                0.35181,                 0.6954,                0.44044,                  1.855,                  1.868,                 1.5296,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                0.62247,                0.73237,                 1.0805,                 0.9667,                0.35181,                 0.6954,                0.44044,                  1.855,                  1.868,                 1.5296,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                0.61773,                0.73748,                0.95989,                 0.9667,                0.35181,                 0.6954,                0.44044,                  1.855,                  1.868,                 1.5296,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                0.47916,                0.66804,                0.97429,                 0.9667,                0.35181,                 0.6954,                0.44044,                  1.855,                  1.868,                 1.5296,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                0.63381,                0.78934,                 1.0997,                0.96723,                0.35189,                0.69778,                0.45812,                 1.8539,                 1.8587,                 1.5259,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                0.74139,                0.83762,                 1.0789,                0.96723,                0.35189,                0.69778,                0.45812,                 1.8539,                 1.8587,                 1.5259,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                0.65529,                0.72272,                0.99944,                0.96723,                0.35189,                0.69778,                0.45812,                 1.8539,                 1.8587,                 1.5259,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                0.60368,                0.80097,                 1.0003,                0.96723,                0.35189,                0.69778,                0.45812,                 1.8539,                 1.8587,                 1.5259,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                 0.6054,                0.71954,                 1.0453,                0.96508,                0.35202,                0.75575,                0.42142,                 1.8666,                  1.885,                 1.5416,             2.3444e-06,             2.3444e-06,             2.3444e-06
